ConfigurationId;EvolutionOperation(delete-merge-extract);GuidanceIdFromPaper;PreservesBehavior
1;extract;E0;true
2;extract;E0;true
3;extract;E0;true
4;extract;E0;true
5;extract;E0;true
6;extract;E0;true
7;extract;E0;true
8;extract;E0;true
9;extract;E0;true
10;extract;E0;true
11;extract;E0;true
12;extract;E0;true
13;extract;E0;true
14;extract;E0;true
15;extract;E0;true
16;extract;E0;true
17;extract;E0;true
18;extract;E0;true
19;extract;E0;true
20;extract;E0;true
21;extract;E0;true
22;extract;E0;true
23;extract;E0;true
24;extract;E0;true
25;extract;E0;true
26;extract;E0;true
27;extract;E0;true
28;extract;E0;true
29;extract;E0;true
30;extract;E0;true
31;extract;E0;true
32;extract;E0;true
33;extract;E0;true
34;extract;E0;true
35;extract;E0;true
36;extract;E0;true
37;extract;E0;true
38;extract;E0;true
39;extract;E0;true
40;extract;E0;true
41;extract;E0;true
42;extract;E0;true
43;extract;E0;true
44;extract;E0;true
45;extract;E0;true
46;extract;E0;true
47;extract;E0;true
48;extract;E0;true
49;extract;E0;true
50;extract;E0;true
51;extract;E0;true
52;extract;E0;true
53;extract;E0;true
54;extract;E0;true
55;extract;E0;true
56;extract;E0;true
57;extract;E0;true
58;extract;E0;true
59;extract;E0;true
60;extract;E0;true
61;extract;E0;true
62;extract;E0;true
63;extract;E0;true
64;extract;E0;true
65;extract;E0;true
66;extract;E0;true
67;extract;E0;true
68;extract;E0;true
69;extract;E0;true
70;extract;E0;true
71;extract;E0;true
72;extract;E0;true
73;extract;E0;true
74;extract;E0;true
75;extract;E0;true
76;extract;E0;true
77;extract;E0;true
78;extract;E0;true
79;extract;E0;true
80;extract;E0;true
81;extract;E0;true
82;extract;E0;true
83;extract;E0;true
84;extract;E0;true
85;extract;E0;true
86;extract;E0;true
87;extract;E0;true
88;extract;E0;true
89;extract;E0;true
90;extract;E0;true
91;extract;E0;true
92;extract;E0;true
93;extract;E0;true
94;extract;E0;true
95;extract;E0;true
96;extract;E0;true
97;extract;E0;true
98;extract;E0;true
99;extract;E0;true
100;extract;E0;true
101;extract;E0;true
102;extract;E0;true
103;extract;E0;true
104;extract;E0;true
105;extract;E0;true
106;extract;E0;true
107;extract;E0;true
108;extract;E0;true
109;extract;E0;true
110;extract;E0;true
111;extract;E0;true
112;extract;E0;true
113;extract;E0;true
114;extract;E0;true
115;extract;E0;true
116;extract;E0;true
117;extract;E0;true
118;extract;E0;true
119;extract;E0;true
120;extract;E0;true
121;extract;E0;true
122;extract;E0;true
123;extract;E0;true
124;extract;E0;true
125;extract;E0;true
126;extract;E0;true
127;extract;E0;true
128;extract;E0;true
129;extract;E0;true
130;extract;E0;true
131;extract;E0;true
132;extract;E0;true
133;extract;E0;true
134;extract;E0;true
135;extract;E0;true
136;extract;E0;true
137;extract;E0;true
138;extract;E0;true
139;extract;E0;true
140;extract;E0;true
141;extract;E0;true
142;extract;E0;true
143;extract;E0;true
144;extract;E0;true
145;extract;E0;true
146;extract;E0;true
147;extract;E0;true
148;extract;E0;true
149;extract;E0;true
150;extract;E0;true
151;extract;E0;true
152;extract;E0;true
153;extract;E0;true
154;extract;E0;true
155;extract;E0;true
156;extract;E0;true
157;extract;E0;true
158;extract;E0;true
159;extract;E0;true
160;extract;E0;true
161;extract;E0;true
162;extract;E0;true
163;extract;E0;true
164;extract;E0;true
165;extract;E0;true
166;extract;E0;true
167;extract;E0;true
168;extract;E0;true
169;extract;E0;true
170;extract;E0;true
171;extract;E0;true
172;extract;E0;true
173;extract;E0;true
174;extract;E0;true
175;extract;E0;true
176;extract;E0;true
177;extract;E0;true
178;extract;E0;true
179;extract;E0;true
180;extract;E0;true
181;extract;E0;true
182;extract;E0;true
183;extract;E0;true
184;extract;E0;true
185;extract;E0;true
186;extract;E0;true
187;extract;E0;true
188;extract;E0;true
189;extract;E0;true
190;extract;E0;true
191;extract;E0;true
192;extract;E0;true
193;extract;E0;true
194;extract;E0;true
195;extract;E0;true
196;extract;E0;true
197;extract;E0;true
198;extract;E0;true
199;extract;E0;true
200;extract;E0;true
201;extract;E0;true
202;extract;E0;true
203;extract;E0;true
204;extract;E0;true
205;extract;E0;true
206;extract;E0;true
207;extract;E0;true
208;extract;E0;true
209;extract;E0;true
210;extract;E0;true
211;extract;E0;true
212;extract;E0;true
213;extract;E0;true
214;extract;E0;true
215;extract;E0;true
216;extract;E0;true
217;extract;E0;true
218;extract;E0;true
219;extract;E0;true
220;extract;E0;true
221;extract;E0;true
222;extract;E0;true
223;extract;E0;true
224;extract;E0;true
225;extract;E0;true
226;extract;E0;true
227;extract;E0;true
228;extract;E0;true
229;extract;E0;true
230;extract;E0;true
231;extract;E0;true
232;extract;E0;true
233;extract;E0;true
234;extract;E0;true
235;extract;E0;true
236;extract;E0;true
237;extract;E0;true
238;extract;E0;true
239;extract;E0;true
240;extract;E0;true
241;extract;E0;true
242;extract;E0;true
243;extract;E0;true
244;extract;E0;true
245;extract;E0;true
246;extract;E0;true
247;extract;E0;true
248;extract;E0;true
249;extract;E0;true
250;extract;E0;true
251;extract;E0;true
252;extract;E0;true
253;extract;E0;true
254;extract;E0;true
255;extract;E0;true
256;extract;E0;true
257;extract;E0;true
258;extract;E0;true
259;extract;E0;true
260;extract;E0;true
261;extract;E0;true
262;extract;E0;true
263;extract;E0;true
264;extract;E0;true
265;extract;E0;true
266;extract;E0;true
267;extract;E0;true
268;extract;E0;true
269;extract;E0;true
270;extract;E0;true
271;extract;E0;true
272;extract;E0;true
273;extract;E0;true
274;extract;E0;true
275;extract;E0;true
276;extract;E0;true
277;extract;E0;true
278;extract;E0;true
279;extract;E0;true
280;extract;E0;true
281;extract;E0;true
282;extract;E0;true
283;extract;E0;true
284;extract;E0;true
285;extract;E0;true
286;extract;E0;true
287;extract;E0;true
288;extract;E0;true
289;extract;E0;true
290;extract;E0;true
291;extract;E0;true
292;extract;E0;true
293;extract;E0;true
294;extract;E0;true
295;extract;E0;true
296;extract;E0;true
297;extract;E0;true
298;extract;E0;true
299;extract;E0;true
300;extract;E0;true
301;extract;E0;true
302;extract;E0;true
303;extract;E0;true
304;extract;E0;true
305;extract;E0;true
306;extract;E0;true
307;extract;E0;true
308;extract;E0;true
309;extract;E0;true
310;extract;E0;true
311;extract;E0;true
312;extract;E0;true
313;extract;E0;true
314;extract;E0;true
315;extract;E0;true
316;extract;E0;true
317;extract;E0;true
318;extract;E0;true
319;extract;E0;true
320;extract;E0;true
321;extract;E0;true
322;extract;E0;true
323;extract;E0;true
324;extract;E0;true
325;extract;E0;true
326;extract;E0;true
327;extract;E0;true
328;extract;E0;true
329;extract;E0;true
330;extract;E0;true
331;extract;E0;true
332;extract;E0;true
333;extract;E0;true
334;extract;E0;true
335;extract;E0;true
336;extract;E0;true
337;extract;E0;true
338;extract;E0;true
339;extract;E0;true
340;extract;E0;true
341;extract;E0;true
342;extract;E0;true
343;extract;E0;true
344;extract;E0;true
345;extract;E0;true
346;extract;E0;true
347;extract;E0;true
348;extract;E0;true
349;extract;E0;true
350;extract;E0;true
351;extract;E0;true
352;extract;E0;true
353;extract;E0;true
354;extract;E0;true
355;extract;E0;true
356;extract;E0;true
357;extract;E0;true
358;extract;E0;true
359;extract;E0;true
360;extract;E0;true
361;extract;E0;true
362;extract;E0;true
363;extract;E0;true
364;extract;E0;true
365;extract;E0;true
366;extract;E0;true
367;extract;E0;true
368;extract;E0;true
369;extract;E0;true
370;extract;E0;true
371;extract;E0;true
372;extract;E0;true
373;extract;E0;true
374;extract;E0;true
375;extract;E0;true
376;extract;E0;true
377;extract;E0;true
378;extract;E0;true
379;extract;E0;true
380;extract;E0;true
381;extract;E0;true
382;extract;E0;true
383;extract;E0;true
384;extract;E0;true
385;extract;E0;true
386;extract;E0;true
387;extract;E0;true
388;extract;E0;true
389;extract;E0;true
390;extract;E0;true
391;extract;E0;true
392;extract;E0;true
393;extract;E0;true
394;extract;E0;true
395;extract;E0;true
396;extract;E0;true
397;extract;E0;true
398;extract;E0;true
399;extract;E0;true
400;extract;E0;true
401;extract;E0;true
402;extract;E0;true
403;extract;E0;true
404;extract;E0;true
405;extract;E0;true
406;extract;E0;true
407;extract;E0;true
408;extract;E0;true
409;extract;E0;true
410;extract;E0;true
411;extract;E0;true
412;extract;E0;true
413;extract;E0;true
414;extract;E0;true
415;extract;E0;true
416;extract;E0;true
417;extract;E0;true
418;extract;E0;true
419;extract;E0;true
420;extract;E0;true
421;extract;E0;true
422;extract;E0;true
423;extract;E0;true
424;extract;E0;true
425;extract;E0;true
426;extract;E0;true
427;extract;E0;true
428;extract;E0;true
429;extract;E0;true
430;extract;E0;true
431;extract;E0;true
432;extract;E0;true
433;extract;E0;true
434;extract;E0;true
435;extract;E0;true
436;extract;E0;true
437;extract;E0;true
438;extract;E0;true
439;extract;E0;true
440;extract;E0;true
441;extract;E0;true
442;extract;E0;true
443;extract;E0;true
444;extract;E0;true
445;extract;E0;true
446;extract;E0;true
447;extract;E0;true
448;extract;E0;true
449;extract;E0;true
450;extract;E0;true
451;extract;E0;true
452;extract;E0;true
453;extract;E0;true
454;extract;E0;true
455;extract;E0;true
456;extract;E0;true
457;extract;E0;true
458;extract;E0;true
459;extract;E0;true
460;extract;E0;true
461;extract;E0;true
462;extract;E0;true
463;extract;E0;true
464;extract;E0;true
465;extract;E0;true
466;extract;E0;true
467;extract;E0;true
468;extract;E0;true
469;extract;E0;true
470;extract;E0;true
471;extract;E0;true
472;extract;E0;true
473;extract;E0;true
474;extract;E0;true
