ConfigurationId;EvolutionOperation(delete-merge-extract);GuidanceIdFromPaper;PreservesBehavior
1;merge;M1;true
2;merge;M3;false
3;merge;M1;true
4;merge;M1;true
5;merge;M1;true
6;merge;M1;true
7;merge;M1;true
8;merge;M1;true
9;merge;M1;true
10;merge;M1;true
11;merge;M1;true
12;merge;M1;true
13;merge;M1;true
14;merge;M3;false
15;merge;M0;true
16;merge;M1;true
17;merge;M0;true
18;merge;M1;true
19;merge;M1;true
20;merge;M3;false
21;merge;M1;true
22;merge;M3;false
23;merge;M1;true
24;merge;M1;true
25;merge;M1;true
26;merge;M1;true
27;merge;M3;false
28;merge;M1;true
29;merge;M3;false
30;merge;M1;true
31;merge;M3;false
32;merge;M1;true
33;merge;M1;true
34;merge;M1;true
35;merge;M1;true
36;merge;M1;true
37;merge;M1;true
38;merge;M0;true
39;merge;M1;true
40;merge;M1;true
41;merge;M3;false
42;merge;M3;false
43;merge;M1;true
44;merge;M3;false
45;merge;M3;false
46;merge;M1;true
47;merge;M3;false
48;merge;M1;true
49;merge;M3;false
50;merge;M3;false
51;merge;M1;true
52;merge;M0;true
53;merge;M1;true
54;merge;M1;true
55;merge;M0;true
56;merge;M0;true
57;merge;M1;true
58;merge;M3;false
59;merge;M1;true
60;merge;M1;true
61;merge;M2;false
62;merge;M0;true
63;merge;M1;true
64;merge;M3;false
65;merge;M3;false
66;merge;M3;false
67;merge;M3;false
68;merge;M1;true
69;merge;M3;false
70;merge;M3;false
71;merge;M3;false
72;merge;M0;true
73;merge;M1;true
74;merge;M1;true
75;merge;M3;false
76;merge;M3;false
77;merge;M1;true
78;merge;M1;true
79;merge;M1;true
80;merge;M1;true
81;merge;M1;true
82;merge;M1;true
83;merge;M3;false
84;merge;M3;false
85;merge;M3;false
86;merge;M1;true
87;merge;M2;false
88;merge;M1;true
89;merge;M0;true
90;merge;M1;true
91;merge;M3;false
92;merge;M0;true
93;merge;M3;false
94;merge;M0;true
95;merge;M3;false
96;merge;M0;true
97;merge;M0;true
98;merge;M3;false
99;merge;M0;true
100;merge;M2;false
101;merge;M1;true
102;merge;M0;true
103;merge;M3;false
104;merge;M0;true
105;merge;M2;false
106;merge;M3;false
107;merge;M1;true
108;merge;M0;true
109;merge;M3;false
110;merge;M1;true
111;merge;M1;true
112;merge;M3;false
113;merge;M1;true
114;merge;M1;true
115;merge;M1;true
116;merge;M1;true
117;merge;M1;true
118;merge;M0;true
119;merge;M3;false
120;merge;M1;true
121;merge;M0;true
122;merge;M0;true
123;merge;M0;true
124;merge;M3;false
125;merge;M1;true
126;merge;M3;false
127;merge;M3;false
128;merge;M1;true
129;merge;M2;false
130;merge;M1;true
131;merge;M1;true
132;merge;M3;false
133;merge;M3;false
134;merge;M1;true
135;merge;M1;true
136;merge;M3;false
137;merge;M3;false
138;merge;M0;true
139;merge;M3;false
140;merge;M1;true
141;merge;M0;true
142;merge;M3;false
143;merge;M0;true
144;merge;M1;true
145;merge;M1;true
146;merge;M3;false
147;merge;M0;true
148;merge;M1;true
149;merge;M1;true
150;merge;M0;true
151;merge;M1;true
152;merge;M1;true
153;merge;M1;true
154;merge;M0;true
155;merge;M1;true
156;merge;M0;true
157;merge;M1;true
158;merge;M1;true
159;merge;M1;true
160;merge;M1;true
161;merge;M3;false
162;merge;M3;false
163;merge;M1;true
164;merge;M3;false
165;merge;M0;true
166;merge;M0;true
167;merge;M2;false
168;merge;M1;true
169;merge;M0;true
170;merge;M3;false
171;merge;M3;false
172;merge;M1;true
173;merge;M3;false
174;merge;M0;true
175;merge;M0;true
176;merge;M3;false
177;merge;M0;true
178;merge;M3;false
179;merge;M0;true
180;merge;M0;true
181;merge;M3;false
182;merge;M0;true
183;merge;M1;true
184;merge;M3;false
185;merge;M1;true
186;merge;M3;false
187;merge;M3;false
188;merge;M1;true
189;merge;M0;true
190;merge;M3;false
191;merge;M3;false
192;merge;M1;true
193;merge;M0;true
194;merge;M0;true
195;merge;M3;false
196;merge;M3;false
197;merge;M1;true
198;merge;M0;true
199;merge;M3;false
200;merge;M2;false
201;merge;M1;true
202;merge;M0;true
203;merge;M3;false
204;merge;M0;true
205;merge;M3;false
206;merge;M1;true
207;merge;M2;false
208;merge;M1;true
209;merge;M0;true
210;merge;M0;true
211;merge;M1;true
212;merge;M1;true
213;merge;M1;true
214;merge;M1;true
215;merge;M1;true
216;merge;M0;true
217;merge;M0;true
218;merge;M0;true
219;merge;M0;true
220;merge;M2;false
221;merge;M3;false
222;merge;M1;true
223;merge;M1;true
224;merge;M1;true
225;merge;M1;true
226;merge;M0;true
227;merge;M3;false
228;merge;M1;true
229;merge;M3;false
230;merge;M3;false
231;merge;M1;true
232;merge;M0;true
233;merge;M1;true
234;merge;M3;false
235;merge;M0;true
236;merge;M0;true
237;merge;M1;true
238;merge;M0;true
239;merge;M1;true
240;merge;M3;false
241;merge;M2;false
242;merge;M0;true
243;merge;M2;false
244;merge;M0;true
245;merge;M3;false
246;merge;M1;true
247;merge;M0;true
248;merge;M1;true
249;merge;M1;true
250;merge;M0;true
251;merge;M1;true
252;merge;M0;true
253;merge;M1;true
254;merge;M1;true
255;merge;M0;true
256;merge;M0;true
257;merge;M0;true
258;merge;M0;true
259;merge;M3;false
260;merge;M1;true
261;merge;M0;true
262;merge;M3;false
263;merge;M0;true
264;merge;M1;true
265;merge;M2;false
266;merge;M3;false
267;merge;M1;true
268;merge;M0;true
269;merge;M0;true
270;merge;M1;true
271;merge;M1;true
272;merge;M0;true
273;merge;M1;true
274;merge;M3;false
275;merge;M2;false
276;merge;M3;false
277;merge;M1;true
278;merge;M3;false
279;merge;M0;true
280;merge;M1;true
281;merge;M1;true
282;merge;M3;false
283;merge;M1;true
284;merge;M1;true
285;merge;M1;true
286;merge;M0;true
287;merge;M0;true
288;merge;M1;true
289;merge;M3;false
